sourceDepth,recDepth,recRange,simGvel,txNode,rxNode,owtt
90,90,2149.16563124672,1442.35098938543,East,North,1.48911
90,90,2149.23638057122,1442.35092116798,East,North,1.48913
90,90,2148.38767556638,1442.35131268146,East,North,1.48904
90,90,2149.58478078707,1442.34820037813,East,North,1.48899
90,90,2148.68538067489,1442.34869158723,East,North,1.48898
90,90,2149.23519710138,1442.34821655851,East,North,1.48897
90,90,2149.21929986218,1442.34759652504,East,North,1.48895
90,90,2149.22457230547,1442.34789499224,East,North,1.48895
90,90,2148.57955448079,1442.34732124788,East,North,1.48896
90,90,2148.73908316398,1442.34665342265,East,North,1.48897
90,90,2149.75890978765,1442.34467674585,East,North,1.48897
90,90,2148.8285899631,1442.34519726048,East,North,1.48897
20,30,NaN,NaN,Camp,West,1.24077
20,30,NaN,NaN,Camp,West,1.24078
20,30,NaN,NaN,Camp,West,1.24076
20,30,NaN,NaN,Camp,West,1.24074
20,30,NaN,NaN,Camp,West,1.24075
20,30,NaN,NaN,Camp,West,1.24078
20,30,NaN,NaN,Camp,West,1.24076
20,30,NaN,NaN,Camp,West,1.24077
20,30,NaN,NaN,Camp,West,1.24074
20,30,NaN,NaN,Camp,West,1.24075
20,30,NaN,NaN,Camp,West,1.24204
20,30,NaN,NaN,Camp,West,1.24205
20,30,NaN,NaN,Camp,West,1.24204
20,30,NaN,NaN,Camp,West,1.24203
20,30,NaN,NaN,Camp,West,1.24206
20,30,NaN,NaN,Camp,West,1.24211
20,30,NaN,NaN,Camp,West,1.2421
20,30,NaN,NaN,Camp,West,1.24212
20,30,NaN,NaN,Camp,West,1.2421
20,30,NaN,NaN,Camp,West,1.24213
20,30,NaN,NaN,Camp,West,1.24214
20,90,NaN,NaN,Camp,West,1.24338
20,90,NaN,NaN,Camp,West,1.24332
20,90,NaN,NaN,Camp,West,1.24331
20,90,NaN,NaN,Camp,West,1.24333
20,30,NaN,NaN,Camp,South,1.05675
20,30,NaN,NaN,Camp,South,1.05676
20,30,NaN,NaN,Camp,South,1.05666
20,30,NaN,NaN,Camp,South,1.05664
20,30,NaN,NaN,Camp,South,1.05663
20,30,NaN,NaN,Camp,South,1.05663
20,30,NaN,NaN,Camp,South,1.0566
90,30,2047.46432126331,1444.3849168161,East,South,1.42845
20,30,NaN,NaN,Camp,South,1.05682
90,30,2047.08738798006,1444.38734635273,East,South,1.4285
90,30,2046.54084460568,1444.39045347095,East,South,1.42845
20,30,NaN,NaN,Camp,South,1.05681
90,30,2046.47471020908,1444.39149263133,East,South,1.42842
90,30,2047.72468853219,1444.3887907767,East,South,1.42839
20,30,NaN,NaN,Camp,South,1.05678
90,30,2046.60745320883,1444.39253544085,East,South,1.4284
20,30,NaN,NaN,Camp,South,1.05681
90,30,2047.665775525,1444.38980252461,East,South,1.42838
20,30,NaN,NaN,Camp,South,1.05681
90,30,2046.76034218519,1444.39419185639,East,South,1.4284
20,30,NaN,NaN,Camp,South,1.05682
90,30,2047.22544886798,1444.39212833128,East,South,1.42836
20,30,NaN,NaN,Camp,South,1.0568
90,30,2046.45664254732,1444.39357918787,East,South,1.42836
20,30,NaN,NaN,Camp,South,1.05682
90,30,2046.57787627556,1444.39155384767,East,South,1.42832
90,30,2046.59493668412,1444.3896708434,East,South,1.42833
20,30,NaN,NaN,Camp,South,1.05656
90,30,2046.34004911739,1444.39073716384,East,South,1.4283
20,30,NaN,NaN,Camp,South,1.05661
90,30,2046.15362893756,1444.39071834091,East,South,1.42826
90,30,2046.82287713598,1444.38947019277,East,South,1.42824
20,30,NaN,NaN,Camp,South,1.05667
90,30,2046.28578627139,1444.39046680399,East,South,1.4282
90,30,2046.86557525771,1444.3895157658,East,South,1.42824
20,30,NaN,NaN,Camp,South,1.05669
20,30,NaN,NaN,Camp,South,1.05686
20,30,NaN,NaN,Camp,South,1.05693
20,30,NaN,NaN,Camp,South,1.05682
20,30,NaN,NaN,Camp,South,1.05681
20,30,NaN,NaN,Camp,South,1.0568
20,30,NaN,NaN,Camp,South,1.05678
20,30,NaN,NaN,Camp,South,1.05677
90,90,2046.6371574842,1444.38848125968,East,South,1.4175
90,90,2047.25498595651,1442.39298905427,East,South,1.42374
90,90,2047.08242446054,1442.39420869663,East,South,1.42367
90,90,2046.86813710423,1442.39516557204,East,South,1.41735
90,90,2046.64298314869,1442.39570948258,East,South,1.41753
90,90,2046.62298284149,1442.39636470763,East,South,1.42351
90,90,2046.46557216701,1442.39492385712,East,South,1.41758
90,90,2046.51350901936,1442.39393635896,East,South,1.42363
20,90,NaN,NaN,Camp,South,1.05273
90,90,2047.22608079512,1442.39222650186,East,South,1.41745
90,90,2047.35020933508,1442.39104466888,East,South,1.42371
90,90,2047.55522309979,1442.3899103542,East,South,1.42366
90,90,2046.33437278583,1442.39012364929,East,South,1.4175
90,90,2046.29518383443,1442.38968298685,East,South,1.41754
90,90,2046.19653675254,1442.38933943956,East,South,1.41751
90,90,2046.9483660152,1442.38865241497,East,South,1.41754
90,90,2047.06129554405,1442.38940365711,East,South,1.41764
20,90,NaN,NaN,Camp,South,1.05285
90,90,2047.13984502539,1442.38922808455,East,South,1.41769
90,90,2047.05782508489,1442.39026033621,East,South,1.41763
90,90,2047.02760547429,1442.39081062267,East,South,1.42386
20,90,NaN,NaN,Camp,South,1.05288
90,90,2047.14879944628,1442.39092432618,East,South,1.4176
20,90,NaN,NaN,Camp,South,1.05284
90,90,2046.93344899619,1442.39246303612,East,South,1.41766
90,90,2046.87937619037,1442.39246609914,East,South,1.41755
20,90,NaN,NaN,Camp,South,1.05282
20,90,NaN,NaN,Camp,South,1.0528
90,90,2047.27417696446,1442.3902382728,East,South,1.41753
20,90,NaN,NaN,Camp,South,1.05278
90,90,2046.95154832761,1442.39191730737,East,South,1.41751
20,90,NaN,NaN,Camp,South,1.05277
90,90,2046.6284849955,1442.3934990782,East,South,1.4175
20,90,NaN,NaN,Camp,South,1.05276
90,90,2046.31052717606,1442.39516985791,East,South,1.41747
90,90,2046.58399023526,1442.39362982632,East,South,1.41748
90,90,2046.71488317337,1442.39307433731,East,South,1.41745
90,90,2046.24492467202,1442.39267643251,East,South,1.41749
90,90,2046.40503273061,1442.39107704448,East,South,1.4175
90,90,2046.18162360749,1442.39251843165,East,South,1.41754
90,90,2046.24378261135,1442.39303464298,East,South,1.41755
90,90,2045.50046935293,1442.39348926194,East,South,1.41759
90,90,2046.63470883917,1442.39102190011,East,South,1.41762
90,90,2046.6578269835,1442.39178846753,East,South,1.41759
90,90,2046.84050360223,1442.39128519482,East,South,1.41764
90,90,2046.74749367482,1442.39294316426,East,South,1.41765
90,90,2046.78135792448,1442.39340786674,East,South,1.41765
90,90,2046.96791778306,1442.39197294459,East,South,1.41756
90,90,2047.30251270029,1442.38974470689,East,South,1.41738
90,90,2046.7035229925,1442.39038773681,East,South,1.41742
90,90,2046.77966417313,1442.38938489031,East,South,1.41735
90,90,2047.47203362573,1442.38824539399,East,South,1.4174
90,90,2047.03027894892,1442.38900108391,East,South,1.41757
90,90,2047.85809633528,1442.38705649116,East,South,1.41763
90,90,2046.93668863795,1442.38946105748,East,South,1.41771
90,90,2046.82731006585,1442.39049462676,East,South,1.41771
90,90,2046.59783941554,1442.3914558997,East,South,1.41775
90,90,2046.90338342307,1442.39244053955,East,South,1.41768
90,90,2046.80716143745,1442.39354111167,East,South,1.41771
90,90,2046.21088681836,1442.39410013838,East,South,1.41769
90,90,2047.07249461783,1442.39242149508,East,South,1.41767
20,90,1462.59169213371,1442.33436778481,Camp,East,1.0195
20,90,1463.15801517126,1442.34563387505,Camp,East,1.01956
20,90,1462.3068560917,1442.3629197249,Camp,East,1.01952
20,90,1463.26201521312,1442.37920072962,Camp,East,1.01876
20,90,1463.10501243009,1442.36727134318,Camp,East,1.01871
20,90,1462.19086166635,1442.36239331541,Camp,East,1.01881
20,90,1461.83531362261,1442.3762783841,Camp,East,1.01877
20,90,1461.78623116832,1442.37019009605,Camp,East,1.01875
20,90,1461.65624195879,1442.36907113975,Camp,East,1.01875
20,90,1460.73385900871,1442.36311468989,Camp,East,1.01874
20,90,1460.53925060024,1442.36918707628,Camp,East,1.01878
90,30,2148.63730038787,1438.42987782592,East,North,1.49526
90,30,2148.49482812158,1438.42889192112,East,North,1.49525
90,30,2148.44889577731,1438.43108312841,East,North,1.49525
90,30,2148.30961079635,1438.43203510912,East,North,1.49525
20,30,NaN,NaN,Camp,North,1.14128
90,30,2148.37108975293,1438.43067112716,East,North,1.49527
20,30,NaN,NaN,Camp,North,1.14128
90,30,2148.30655297779,1438.43051792427,East,North,1.49526
90,30,2148.33972353741,1438.43057986594,East,North,1.49526
90,30,2148.49258596465,1438.4301029657,East,North,1.49526
90,30,2149.33478120511,1438.43267364497,East,North,1.49526
90,30,2149.31115387216,1438.43263847575,East,North,1.49526
20,30,NaN,NaN,Camp,North,1.14113
90,30,2149.49908064523,1438.43242214746,East,North,1.49525
20,30,NaN,NaN,Camp,North,1.14112
20,30,NaN,NaN,Camp,North,1.14112
20,30,NaN,NaN,Camp,North,1.14109
90,30,2148.48554137253,1438.42998757235,East,North,1.49535
90,30,2148.18667222861,1438.42996648902,East,North,1.49534
90,30,2149.02389932855,1438.43247715106,East,North,1.50217
90,30,2149.28348554923,1438.43415054919,East,North,1.50216
90,30,2149.12723098606,1438.43411627439,East,North,1.50217
20,30,NaN,NaN,Camp,North,1.14102
90,30,2148.86545881472,1438.4340995979,East,North,1.50224
20,30,NaN,NaN,Camp,North,1.14102
90,30,2148.91425359899,1438.43446320043,East,North,1.50224
20,30,NaN,NaN,Camp,North,1.14102
90,30,2149.82484383946,1438.43736916863,East,North,1.5023
